marketplace,operation_id,http_method,host,path,section,scope,safety,summary,pagination,rate_limit,status,implemented_in_baseline,contract_parameters,request_body,replacement,shutdown_date
wildberries,patchV0AuctionNms,PATCH,advert-api.wildberries.ru,/adv/v0/auction/nms,Управление кампаниями,promotion,write,Изменение списка карточек товаров в кампаниях,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""type"":""object"",""required"":[""nms""],""properties"":{""nms"":{""type"":""array"",""maxItems"":20,""items"":{""type"":""object"",""required"":[""advert_id"",""nms""]}}}}}}",,
wildberries,putV0AuctionPlacements,PUT,advert-api.wildberries.ru,/adv/v0/auction/placements,Управление кампаниями,promotion,write,Изменение мест размещения в кампаниях с ручной ставкой,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""type"":""object"",""required"":[""placements""],""properties"":{""placements"":{""type"":""array"",""maxItems"":50,""items"":{""type"":""object"",""required"":[""advert_id"",""placements""]}}}}}}",,
wildberries,getV0Delete,GET,advert-api.wildberries.ru,/adv/v0/delete,Управление кампаниями,promotion,read,Удаление кампании,none,,CURRENT,True,"[{""name"":""id"",""in"":""query"",""required"":true,""schema"":{""type"":""integer""}}]",null,,
wildberries,deleteV0NormqueryBids,DELETE,advert-api.wildberries.ru,/adv/v0/normquery/bids,Поисковые кластеры,promotion,destructive,Удалить ставки поисковых кластеров,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0DeleteNormQueryBidsRequest""}}}",,
wildberries,postV0NormqueryBids,POST,advert-api.wildberries.ru,/adv/v0/normquery/bids,Поисковые кластеры,promotion,write,Установить ставки для поисковых кластеров,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0SetNormQueryBidsRequest""}}}",,
wildberries,postV0NormqueryGetBids,POST,advert-api.wildberries.ru,/adv/v0/normquery/get-bids,Поисковые кластеры,promotion,read,Список ставок поисковых кластеров,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0GetNormQueryBidsRequest""}}}",,
wildberries,postV0NormqueryGetMinus,POST,advert-api.wildberries.ru,/adv/v0/normquery/get-minus,Поисковые кластеры,promotion,read,Список минус-фраз кампаний,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0GetNormQueryMinusRequest""}}}",,
wildberries,postV0NormqueryList,POST,advert-api.wildberries.ru,/adv/v0/normquery/list,Поисковые кластеры,promotion,read,Списки активных и неактивных поисковых кластеров,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0GetNormQueryListRequest""}}}",,
wildberries,postV0NormquerySetMinus,POST,advert-api.wildberries.ru,/adv/v0/normquery/set-minus,Поисковые кластеры,promotion,write,Установка и удаление минус-фраз,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0SetMinusNormQueryRequest""}}}",,
wildberries,postV0NormqueryStats,POST,advert-api.wildberries.ru,/adv/v0/normquery/stats,Статистика,promotion,read,Статистика поисковых кластеров,none,,CURRENT,True,[],"{""required"":true,""content"":{""application/json"":{""$ref"":""#/components/schemas/V0GetNormQueryStatsRequest""}}}",,
wildberries,getV0Pause,GET,advert-api.wildberries.ru,/adv/v0/pause,Управление кампаниями,promotion,read,Пауза кампании,none,,CURRENT,True,"[{""name"":""id"",""in"":""query"",""required"":true,""schema"":{""type"":""integer""}}]",null,,
wildberries,postV0Rename,POST,advert-api.wildberries.ru,/adv/v0/rename,Управление кампаниями,promotion,write,Переименование кампании,none,,CURRENT,True,[],"{""required"":false,""content"":{""application/json"":{""type"":""object"",""required"":[""advertId"",""name""],""properties"":{""advertId"":{""type"":""integer""},""name"":{""type"":""string""}}}}}",,
wildberries,getV0Start,GET,advert-api.wildberries.ru,/adv/v0/start,Управление кампаниями,promotion,read,Запуск кампании,none,,CURRENT,True,"[{""name"":""id"",""in"":""query"",""required"":true,""schema"":{""type"":""integer""}}]",null,,
wildberries,getV0Stop,GET,advert-api.wildberries.ru,/adv/v0/stop,Управление кампаниями,promotion,read,Завершение кампании,none,,CURRENT,True,"[{""name"":""id"",""in"":""query"",""required"":true,""schema"":{""type"":""integer""}}]",null,,
